//(시작프레임, 마지막프레임+1, 지연시간, 이미파일번호
//	(Magic:81, MagicEX:137, MagicEX2:91, MonMagicEX:138, MonMagicEx2:140, MonMagicEx3:143, MonMagicEX4:148, MagicEx2:149, MagicEx3:157, MonMagicEx5:158), 
//마법번호, 작은광원크기, 큰광원크기, 작은광원R, 광원G, 광원B, 큰광원R, 광원G, 광원B, 마법색R, 색G, 색B, 
//Blend종류, Opacity, 방향정의, 반복여부, 고정여부, 광원보기여부, 목표물사용여부)
//뒤에 다섯개의 변수는 Magic Effect에만 쓰인다.

//#define _BLEND_NORMAL				0			// 일반적인그리기.(알파값이 적용될수있다.)
//#define _BLEND_LIGHT				1			// 섬광효과형태의 블렌딩.
//#define _BLEND_LIGHTINV			2	
//#define _BLEND_INVNORMAL			3
//#define _BLEND_INVLIGHT			4
//#define _BLEND_INVLIGHTINV		5





//------------------------------------------------------------------------------------------------------------------------------------------------------------
// Spell Effect ( 검기포함 ).
//------------------------------------------------------------------------------------------------------------------------------------------------------------

#SPELL 148
{
[ 230,  236, 100, 81,  25,  3,  4, 100, 100, 100, 100, 100, 170,  50, 100, 255, 1,   1,   0, 0, 0, 0, 0, 0]	// 1. 반월공격 12시.
//  60,   70, 100, 81,   6,  3,  4, 100, 100, 100, 100, 160, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0	// 2. 암연술 시전.
[ 790,  800, 100, 157,   6,  3,  4, 100, 100, 100, 100, 160, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 2. 암연술 시전.
[  90,   98, 100, 81,   8,  3,  4, 100, 100, 100, 100, 140, 180, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 3. 화염풍.
// 1820, 1828, 100, 81,   9,  3,  4, 100, 100, 100, 100, 140, 180, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 4. 염사장 시전.
[2410,  2419, 100,149,  9,  3,  4, 100, 100, 100, 170, 100, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	//4. 염사장 시전.
//   0,    9, 100, 81,  20,  3,  4, 100, 100, 100, 170, 100, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0	// 5. 뢰혼격시전.
[ 480,  488, 100,157,  20,  3,  4, 100, 100, 100, 170, 100, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 5. 뢰혼격시전.
[2360, 2370, 100, 81,  21,  3,  4, 100, 100, 100, 170, 100, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 6. 아공행법.
[ 130,  140, 100, 81,  32,  3,  4, 100, 100, 100, 170, 100, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 7. 사자윤회시전.
[1820, 1828, 100, 81,   1,  3,  4, 100, 100, 100, 100, 140, 180, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 8. 화염장.
// 660,  670, 100, 81,   2,  3,  4, 100, 100, 100, 140, 100, 120, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0	// 9. 회복술.
[ 740,  749, 100, 157,   2,  3,  4, 100, 100, 100, 140, 100, 120, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	// 9. 회복술.
[ 630,  640, 100, 81,  16,  3,  4, 100, 100, 100, 170, 100, 100, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	//10. 결계.
[ 660 , 670, 100, 81,  29,  3,  4, 100, 100, 100, 140, 100, 120, 255, 255, 255, 2,   1,   0, 0, 0, 0, 0, 0]	//11. 대회복.
